"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0091329,Virgin Plus,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0091329,Virgin Plus,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0027128,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Edmonton,Alberta,
CI-0085177,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Montreal,Quebec,
CI-0044118,Rogers Communications,TV,Service Delivery,Service not working,Intermittent service,Consumer,Cambridge,Ontario,
CI-0067231,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Richmond Hill,Ontario,
CI-0032560,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Maple,Ontario,
CI-0032560,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Maple,Ontario,
CI-0083480,Public Mobile,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Stittsville ,Ontario,
CI-0020956,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Winnipeg,Manitoba,
CI-0039610,iTalkBB,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,York,Ontario,
CI-0094483,Bell Canada,TV,Service Delivery,Service not working,Intermittent service,Consumer,Renfrew,Ontario,
CI-0091321,Bell Aliant,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Repair issues and appointments,Consumer,Halifax,Nova Scotia,
CI-0022326,Fido,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Dundas,Ontario,
CI-0046532,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,MILTON,Ontario,
CI-0036667,Fido,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,North Bay,Ontario,
CI-0084206,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,terrebonne,Quebec,
CI-0084206,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,terrebonne,Quebec,
CI-0055844,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Spruce Grove,Alberta,
CI-0062326,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Princeville ,Quebec,
CI-0052598,NFTC,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Mount Brydges,Ontario,
CI-0094737,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Telkwa,British Columbia,
CI-0045524,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Oshawa,Ontario,
CI-0085677,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Edmonton ,Alberta,
CI-0055532-PT,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,London,Ontario,
CI-0006531,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,North York,Ontario,
CI-0037850,Virgin Plus,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0017219,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Vernon,British Columbia,
CI-0037850,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Toronto,Ontario,
CI-0031572,Shaw Direct,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Cochrane,Alberta,
CI-0053645,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,North York,Ontario,
CI-0092722,Public Mobile,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Brigus Junction,Newfoundland and Labrador,
CI-0053712,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Waterdown,Ontario,
CI-0018718-PT,Seaside Communications Powered by Rogers,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Lansdowne station,Nova Scotia,
CI-0058872,Bell MTS,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Portage la Prairie ,Manitoba,
CI-0050662,Virgin Plus,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0042523,Bell Aliant,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Halifax,Nova Scotia,
CI-0073301,Eastlink,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Brigus Junction,Newfoundland and Labrador,
CI-0069574,Bell Canada,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,St. Catharines,Ontario,
CI-0090878,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,North Vancouver,British Columbia,
CI-0000870,Bell Canada,TV,Service Delivery,Service not working,Intermittent service,Consumer,SAINT-LEONARD,Quebec,
CI-0000870,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,SAINT-LEONARD,Quebec,
CI-0000870,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Repair issues and appointments,Consumer,SAINT-LEONARD,Quebec,
CI-0008372,Shaw,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Edmonton,Alberta,
CI-0008372,Shaw,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Edmonton,Alberta,
CI-0008372,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton,Alberta,
CI-0098741,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,1293 rue Forain,Quebec,
CI-0019988,Bell MTS,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Melita,Manitoba,
CI-0072914,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0006655,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Courtenay,British Columbia,
CI-0042700,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Surrey,British Columbia,
CI-0024856,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Ottawa,Ontario,
CI-0045185,Bell Aliant,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Yarmouth,Nova Scotia,
CI-0061292,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,KEG RIVER,Alberta,
CI-0006803,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Chilliwack,British Columbia,
CI-0069001,Freedom Mobile Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Waterloo,Ontario,
CI-0048530,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Napierville,Quebec,
CI-0060553-PT,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Calgary,Alberta,
CI-0003291,Shaw,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Winnipeg,Manitoba,
CI-0013208,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Saint-Constant,Quebec,
CI-0003249,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Etobicoke,Ontario,
CI-0046744,TELUS Communications Inc.,TV,Service Delivery,Service not working,Intermittent service,Consumer,Richmond,British Columbia,
CI-0087916,Ooma,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Fall River,Nova Scotia,
CI-0070972,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Pipestone ,Manitoba,
CI-0095343-PF,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Maple Ridge,British Columbia,
CI-0086521,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Laval,Quebec,
CI-0086521,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Small Business,Laval,Quebec,
CI-0068665,Bell Canada,TV,Service Delivery,Service not working,Complete loss of service,Consumer,WOODBRIDGE,Ontario,
CI-0097232,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Pierson,Manitoba,
CI-0037446,Primus,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Montréal,Quebec,
CI-0037446,Primus,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Montréal,Quebec,
CI-0037446,Primus,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Montréal,Quebec,
CI-0094315,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,ste-emelie-de-l'energie,Quebec,
CI-0094315,Bell Canada,TV,Service Delivery,Service not working,Intermittent service,Consumer,ste-emelie-de-l'energie,Quebec,
CI-0048534,Virgin Plus,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Burlington Ontario,Ontario,
CI-0009703,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Port Moody,British Columbia,
CI-0018217,Shaw,TV,Service Delivery,Service not working,Intermittent service,Consumer,CHILLIWACK,British Columbia,
CI-0062370,Rogers Communications,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Etobicoke,Ontario,
CI-0018323,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto ,Ontario,
CI-0018323,Rogers Communications,TV,Service Delivery,Service not working,Intermittent service,Consumer,Toronto ,Ontario,
CI-0009686,Shaw,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Vancouver,British Columbia,
CI-0026258-PF,Koodo,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,King Kirkland,Ontario,
CI-0049349-PT,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,North york ,Ontario,
CI-0029955,Rogers Communications,TV,Service Delivery,Service not working,Intermittent service,Consumer,Mississauga,Ontario,
CI-0053061,NFTC,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Tichborne,Ontario,
CI-0088001,Bell Aliant,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Bay roberts ,Newfoundland and Labrador,
CI-0051095,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Woodbridge,Ontario,
CI-0051095,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Woodbridge,Ontario,
CI-0080164,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Chester,Nova Scotia,
CI-0037797,Koodo,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Calgary,Alberta,
CI-0037797,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Calgary,Alberta,
CI-0065432,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Edmonton,Alberta,
CI-0010635,Bell MTS,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Winnipeg,Manitoba,
CI-0023903,Bell Aliant,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,pools cove,Newfoundland and Labrador,
CI-0044672,Bell Canada,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Toronto,Ontario,
CI-0044672,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0083942,Bell Canada,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Toronto,Ontario,
CI-0063957,Virgin Plus,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,cote-saint Luc,Quebec,
CI-0062286,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Sault Ste Marie,Ontario,
CI-0054064,Bell Aliant,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Caraquet,New Brunswick,
CI-0078857,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Bas-Caraquet,New Brunswick,
CI-0039683,Rogers Communications,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Bishop's Falls,Newfoundland and Labrador,
CI-0039683,Rogers Communications,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,Bishop's Falls,Newfoundland and Labrador,
CI-0073991,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Bas-Caraquer,New Brunswick,
CI-0061537,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Red Deer,Alberta,
CI-0053928,Shaw,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mission,British Columbia,
CI-0068364-PF,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,Device financing,Small Business,Southampton,Ontario,
CI-0025611,Virgin Plus,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Alert Bay,British Columbia,
CI-0097290,Koodo,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Tracadie sheila,New Brunswick,
CI-0045202,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Sherbrooke ,Quebec,
CI-0045202,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Sherbrooke ,Quebec,
CI-0045202,Bell Canada,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Sherbrooke ,Quebec,
CI-0097859,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Cote Saint Luc,Quebec,
CI-0022549,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Montreal,Quebec,
CI-0059291,TELUS Communications Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Whitby ,Ontario,
CI-0059291,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Whitby ,Ontario,
CI-0041357,Shaw,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Winnipeg,Manitoba,
CI-0095807,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Renfrew,Ontario,
CI-0023611,Public Mobile,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Ucluelet ,British Columbia,
CI-0099900,TELUS Communications Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Richmond Hill,Ontario,
CI-0081891,CTExcel,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Toronto,Ontario,
CI-0096805,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Surrey,British Columbia,
CI-0044629,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Scarborough ,Ontario,
CI-0021639,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,St.John's,Newfoundland and Labrador,
CI-0088662,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Brampton,Ontario,
CI-0070036,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Coquitlam,British Columbia,
CI-0034740,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Wellesley,Ontario,
CI-0034740,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Wellesley,Ontario,
CI-0092753,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Peterborough,Ontario,
CI-0005478,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,"Agassiz,",British Columbia,
CI-0090563-PT,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Ottawa,Ontario,
CI-0053810,Fongo Home Phone,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Scarborough,Ontario,
CI-0090388,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,victoria,British Columbia,
CI-0090388,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,victoria,British Columbia,
CI-0087495,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Mississauga,Ontario,
CI-0062337,Lucky Mobile,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Mississauga,Ontario,
CI-0086339,Rogers Communications,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0062772,Cogeco Connexion (Ontario),Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Fonthill,Ontario,
CI-0029035,Koodo,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Red Deer,Alberta,
CI-0037046-PT,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Washago,Ontario,
CI-0016695,Worldline,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Stratford ,Ontario,
CI-0016695,Worldline,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Stratford ,Ontario,
CI-0062377,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Cochrane,Alberta,
CI-0037867,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Toronto ,Ontario,
CI-0037867,Rogers Communications,TV,Service Delivery,Service not working,Intermittent service,Consumer,Toronto ,Ontario,
CI-0066907,Virgin Plus,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Port Coquitlam,British Columbia,
CI-0023251,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Surrey,British Columbia,
CI-0031912,Sasktel,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Saskatoon,Saskatchewan,
CI-0031912,Sasktel,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Saskatoon,Saskatchewan,
CI-0065782-PT,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Ottawa,Ontario,
CI-0034340,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Leech,New Brunswick,
CI-0049388,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Burnaby ,British Columbia,
CI-0092257,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,North York,Ontario,
CI-0043073,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0046745,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0067959,Bell Canada,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,White Rock ,British Columbia,
CI-0077534,Koodo,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Rivière du portage ,New Brunswick,
CI-0009410,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Montreal,Quebec,
CI-0000345,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Ottawa,Ontario,
CI-0000345,Rogers Communications,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Ottawa,Ontario,
CI-0000345,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Ottawa,Ontario,
CI-0018477,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Calgary,Alberta,
CI-0049576,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Langley,British Columbia,
CI-0049576,Shaw,TV,Service Delivery,Service not working,Intermittent service,Consumer,Langley,British Columbia,
CI-0027940,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Edmonton,Alberta,
CI-0005033,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Small Business,Medicine Hat ,Alberta,
CI-0007912,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Pokemouche,New Brunswick,
CI-0032262,Chatr,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,North York ,Ontario,
CI-0007993,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0007993,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0019411,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Richmond Hill,Ontario,
CI-0029045,Bell Canada,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Arthur,Ontario,
CI-0029045,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Arthur,Ontario,
CI-0013327,Free Phone Line,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Brampton,Ontario,
CI-0037808,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0037808,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0017654,Eastlink,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Sydney,Nova Scotia,
CI-0042956,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Tracadie-Sheila,New Brunswick,
CI-0023851,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Montréal,Quebec,
CI-0084083,Bell Canada,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,"Sharon, ",Ontario,
CI-0069626,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Gloucester,Ontario,
CI-0005620,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Calgary,Alberta,
CI-0066524,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Aurora,Ontario,
CI-0078313,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Toronto,Ontario,
CI-0020250,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Small Business,Langley,British Columbia,
CI-0074486,Bell Canada,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,brampton,Ontario,
CI-0094291,Shaw,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Victoria,British Columbia,
CI-0026222,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Winnipeg,Manitoba,
CI-0007903,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Surrey,British Columbia,
CI-0007903,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Surrey,British Columbia,
CI-0026182,Koodo,Wireless services,Credit Management,3rd party credit reporting,,Consumer,St. Catharines,Ontario,
CI-0009594,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Intermittent service,Consumer,Cambridge,Ontario,
CI-0048959,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Bas-Caraquet,New Brunswick,
CI-0031033,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Woodbridge ,Ontario,
CI-0049301,Altima Telecom,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Edmonton,Alberta,
CI-0045623,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,EDMONTON,Alberta,
CI-0096963,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Small Business,newmarket,Ontario,
CI-0080495,TELUS Communications Inc.,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Calgary,Alberta,
CI-0051339,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Newmarket,Ontario,
CI-0025657,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Vancouver,British Columbia,
CI-0053927,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Nepean,Ontario,
CI-0041768,TeraGo Networks Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Oakville,Ontario,
CI-0037940,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Montreal Lake,Saskatchewan,
CI-0024791,Koodo,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0086749,Virgin Plus,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Ottawa,Ontario,
CI-0008954,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Richmond Hill,Ontario,
CI-0000040,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Pickering,Ontario,
CI-0075935,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Sidney,British Columbia,
CI-0019279,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Waterloo,Ontario,
